2025-12-14 14:51:15 | WARNING | TC-01_Add_Employee_No_Deps | None
2025-12-14 14:51:15 | WARNING | TC-01_Add_Employee_No_Deps | TestUser845
2025-12-14 14:51:15 | WARNING | TC-01_Add_Employee_No_Deps | KQ.]SfeU>OYI
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | Click on Add Employee BTN
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | firstname set
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | Lastname set
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | Dependants Set
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | Click on Add BTN
2025-12-14 14:51:20 | INFO | src.pages.dashboard_page | Employee succesfully added
